customer_id,segment,city,age,gender,join_date,email_subscribed,preferred_device,preferred_category
CUST00001,New,Medan,19,Male,2024-05-05,0,Desktop,Food & Drink
CUST00002,Champions,Jakarta,45,Male,2024-02-17,1,Mobile,Electronics
CUST00003,New,Bali,52,Female,2024-08-17,0,Mobile,Books
CUST00004,New,Jakarta,39,Female,2024-04-20,1,Mobile,Electronics
CUST00005,New,Yogyakarta,34,Female,2024-08-23,0,Mobile,Beauty
CUST00006,New,Bandung,41,Male,2024-02-05,1,Mobile,Electronics
CUST00007,Loyal,Bali,24,Female,2024-08-20,1,Mobile,Apparel
CUST00008,Loyal,Bandung,22,Female,2024-03-28,1,Mobile,Apparel
CUST00009,Lost,Jakarta,53,Female,2024-06-15,0,Mobile,Electronics
CUST00010,Loyal,Jakarta,35,Female,2024-10-17,1,Desktop,Home & Garden
CUST00011,Lost,Jakarta,47,Male,2024-03-12,1,Mobile,Beauty
CUST00012,Lost,Bali,43,Female,2024-03-11,1,Mobile,Electronics
CUST00013,New,Bandung,45,Male,2024-07-16,0,Mobile,Food & Drink
CUST00014,Lost,Bandung,18,Female,2024-02-28,1,Mobile,Beauty
CUST00015,Champions,Jakarta,45,Female,2024-01-02,0,Mobile,Home & Garden
CUST00016,Loyal,Semarang,24,Female,2024-06-01,1,Mobile,Apparel
CUST00017,Loyal,Makassar,51,Female,2024-06-14,1,Mobile,Food & Drink
CUST00018,New,Jakarta,33,Female,2024-10-17,1,Mobile,Electronics
CUST00019,New,Jakarta,26,Female,2024-08-31,1,Mobile,Beauty
CUST00020,Lost,Medan,52,Female,2024-04-12,1,Desktop,Apparel
CUST00021,Lost,Jakarta,46,Male,2024-04-25,1,Mobile,Beauty
CUST00022,Champions,Jakarta,21,Female,2024-01-17,1,Mobile,Sports
CUST00023,Loyal,Medan,26,Female,2024-10-19,1,Mobile,Home & Garden
CUST00024,Champions,Bali,45,Female,2024-07-29,0,Desktop,Food & Drink
CUST00025,Champions,Medan,43,Male,2024-02-25,1,Mobile,Home & Garden
CUST00026,Loyal,Semarang,33,Female,2024-02-08,0,Mobile,Electronics
CUST00027,Lost,Palembang,18,Male,2024-05-01,1,Mobile,Home & Garden
CUST00028,Champions,Jakarta,42,Male,2024-07-18,0,Mobile,Home & Garden
CUST00029,Lost,Bandung,53,Male,2024-09-06,1,Tablet,Beauty
CUST00030,At Risk,Jakarta,38,Female,2024-10-26,0,Mobile,Electronics
CUST00031,At Risk,Jakarta,29,Female,2024-02-04,1,Mobile,Food & Drink
CUST00032,Loyal,Bandung,20,Female,2024-08-02,1,Mobile,Apparel
CUST00033,New,Jakarta,38,Male,2024-07-21,1,Mobile,Food & Drink
CUST00034,Lost,Surabaya,18,Prefer not to say,2024-10-15,1,Mobile,Apparel
CUST00035,Lost,Semarang,22,Male,2024-07-08,1,Mobile,Apparel
CUST00036,Lost,Jakarta,51,Male,2024-10-10,1,Tablet,Electronics
CUST00037,Champions,Medan,24,Male,2024-03-20,1,Desktop,Apparel
CUST00038,New,Surabaya,34,Female,2024-05-08,0,Mobile,Home & Garden
CUST00039,Loyal,Bali,18,Female,2024-03-07,1,Desktop,Beauty
CUST00040,At Risk,Jakarta,18,Female,2024-03-17,0,Mobile,Electronics
CUST00041,Champions,Bali,37,Female,2024-01-21,1,Mobile,Electronics
CUST00042,New,Depok,44,Female,2024-03-20,1,Mobile,Books
CUST00043,Loyal,Jakarta,44,Female,2024-06-19,1,Desktop,Sports
CUST00044,Loyal,Yogyakarta,28,Male,2024-02-25,1,Mobile,Electronics
CUST00045,Lost,Bali,40,Male,2024-04-26,1,Mobile,Apparel
CUST00046,Champions,Bali,35,Male,2024-09-17,0,Mobile,Food & Drink
CUST00047,Champions,Jakarta,34,Male,2024-05-15,1,Mobile,Books
CUST00048,At Risk,Jakarta,50,Male,2024-10-22,1,Mobile,Home & Garden
CUST00049,New,Bali,30,Female,2024-02-05,0,Desktop,Sports
CUST00050,Champions,Surabaya,37,Male,2024-07-28,1,Mobile,Electronics
CUST00051,New,Bandung,42,Female,2024-03-30,1,Mobile,Electronics
CUST00052,Loyal,Yogyakarta,45,Female,2024-06-13,1,Mobile,Home & Garden
CUST00053,Lost,Bandung,28,Female,2024-05-25,1,Mobile,Books
CUST00054,New,Jakarta,37,Male,2024-04-11,1,Tablet,Beauty
CUST00055,New,Bali,47,Male,2024-10-21,1,Mobile,Apparel
CUST00056,New,Semarang,18,Female,2024-02-24,1,Desktop,Sports
CUST00057,At Risk,Jakarta,53,Female,2024-03-03,0,Desktop,Food & Drink
CUST00058,At Risk,Bandung,46,Male,2024-09-15,0,Mobile,Electronics
CUST00059,Lost,Jakarta,46,Female,2024-05-06,1,Desktop,Home & Garden
CUST00060,Loyal,Jakarta,46,Male,2024-05-26,1,Desktop,Electronics
CUST00061,Loyal,Medan,42,Male,2024-04-19,1,Mobile,Home & Garden
