order_id,customer_id,order_date,category,total_amount,items_count,status,acquisition_source,device,city,segment
ORD000001,CUST00001,2024-09-06,Apparel,109.28,3,Completed,Paid Search,Mobile,Medan,New
ORD000002,CUST00001,2024-12-26,Electronics,55.89,1,Completed,Organic,Mobile,Medan,New
ORD000003,CUST00002,2024-02-24,Apparel,297.49,5,Completed,Organic,Desktop,Jakarta,Champions
ORD000004,CUST00002,2024-08-21,Electronics,309.24,1,Completed,Social Media,Desktop,Jakarta,Champions
ORD000005,CUST00002,2024-09-01,Beauty,525.71,2,Completed,Paid Search,Desktop,Jakarta,Champions
ORD000006,CUST00002,2024-08-07,Food & Drink,400.83,5,Completed,Referral,Mobile,Jakarta,Champions
ORD000007,CUST00002,2024-06-11,Food & Drink,508.47,3,Completed,Email,Mobile,Jakarta,Champions
ORD000008,CUST00002,2024-06-06,Food & Drink,169.29,2,Completed,Organic,Mobile,Jakarta,Champions
ORD000009,CUST00002,2024-09-03,Apparel,295.79,4,Completed,Organic,Mobile,Jakarta,Champions
ORD000010,CUST00003,2024-01-04,Beauty,49.46,2,Completed,Email,Desktop,Bali,New
ORD000011,CUST00003,2024-02-24,Sports,135.0,1,Completed,Organic,Mobile,Bali,New
ORD000012,CUST00003,2024-01-31,Beauty,111.13,1,Completed,Organic,Mobile,Bali,New
ORD000013,CUST00004,2024-07-25,Beauty,129.7,4,Completed,Organic,Mobile,Jakarta,New
ORD000014,CUST00004,2024-09-18,Apparel,110.42,4,Completed,Direct,Mobile,Jakarta,New
ORD000015,CUST00005,2024-12-01,Sports,150.35,1,Completed,Organic,Mobile,Yogyakarta,New
ORD000016,CUST00005,2024-02-21,Sports,144.6,5,Completed,Email,Mobile,Yogyakarta,New
ORD000017,CUST00006,2024-09-09,Beauty,125.82,3,Completed,Email,Mobile,Bandung,New
ORD000018,CUST00006,2024-10-25,Electronics,88.09,2,Completed,Organic,Mobile,Bandung,New
ORD000019,CUST00007,2024-03-11,Sports,300.73,5,Completed,Social Media,Mobile,Bali,Loyal
ORD000020,CUST00007,2024-08-26,Beauty,333.73,5,Completed,Social Media,Mobile,Bali,Loyal
ORD000021,CUST00007,2024-02-11,Apparel,184.72,5,Completed,Direct,Mobile,Bali,Loyal
ORD000022,CUST00007,2024-09-18,Electronics,154.84,2,Completed,Social Media,Desktop,Bali,Loyal
ORD000023,CUST00007,2024-03-15,Electronics,341.2,2,Completed,Social Media,Mobile,Bali,Loyal
ORD000024,CUST00007,2024-12-10,Electronics,243.58,4,Completed,Organic,Mobile,Bali,Loyal
ORD000025,CUST00008,2024-12-04,Apparel,224.76,3,Completed,Social Media,Desktop,Bandung,Loyal
ORD000026,CUST00008,2024-06-21,Beauty,117.97,3,Completed,Social Media,Tablet,Bandung,Loyal
ORD000027,CUST00008,2024-02-03,Sports,306.7,1,Completed,Email,Desktop,Bandung,Loyal
ORD000028,CUST00008,2024-09-11,Electronics,267.53,2,Completed,Email,Tablet,Bandung,Loyal
ORD000029,CUST00008,2024-03-07,Beauty,184.59,1,Completed,Organic,Desktop,Bandung,Loyal
ORD000030,CUST00009,2024-09-10,Electronics,34.62,5,Completed,Organic,Mobile,Jakarta,Lost
ORD000031,CUST00009,2024-11-24,Books,73.18,3,Completed,Email,Mobile,Jakarta,Lost
ORD000032,CUST00010,2024-05-25,Books,173.97,2,Completed,Organic,Mobile,Jakarta,Loyal
ORD000033,CUST00010,2024-03-01,Electronics,96.04,1,Completed,Social Media,Mobile,Jakarta,Loyal
ORD000034,CUST00010,2024-02-16,Electronics,187.63,1,Completed,Paid Search,Mobile,Jakarta,Loyal
ORD000035,CUST00010,2024-01-16,Home & Garden,120.0,3,Completed,Organic,Desktop,Jakarta,Loyal
ORD000036,CUST00010,2024-05-27,Apparel,341.57,3,Completed,Social Media,Mobile,Jakarta,Loyal
ORD000037,CUST00011,2024-09-11,Sports,65.67,1,Completed,Organic,Mobile,Jakarta,Lost
ORD000038,CUST00012,2024-03-17,Food & Drink,52.13,5,Completed,Social Media,Mobile,Bali,Lost
ORD000039,CUST00013,2024-01-11,Electronics,62.8,2,Completed,Organic,Mobile,Bandung,New
ORD000040,CUST00013,2024-06-11,Sports,122.0,5,Completed,Organic,Mobile,Bandung,New
ORD000041,CUST00013,2024-07-14,Sports,135.78,1,Completed,Email,Mobile,Bandung,New
ORD000042,CUST00014,2024-04-29,Home & Garden,37.62,4,Completed,Email,Mobile,Bandung,Lost
ORD000043,CUST00015,2024-10-03,Home & Garden,382.01,4,Completed,Organic,Mobile,Jakarta,Champions
ORD000044,CUST00015,2024-02-12,Food & Drink,553.85,5,Cancelled,Referral,Mobile,Jakarta,Champions
ORD000045,CUST00015,2024-09-16,Beauty,348.16,5,Completed,Direct,Mobile,Jakarta,Champions
ORD000046,CUST00015,2024-03-21,Sports,450.59,5,Completed,Paid Search,Mobile,Jakarta,Champions
ORD000047,CUST00015,2024-12-31,Electronics,309.59,1,Completed,Direct,Desktop,Jakarta,Champions
ORD000048,CUST00015,2024-11-24,Electronics,554.81,5,Completed,Paid Search,Mobile,Jakarta,Champions
ORD000049,CUST00015,2024-10-06,Books,319.34,5,Completed,Organic,Mobile,Jakarta,Champions
ORD000050,CUST00015,2024-01-01,Apparel,396.02,2,Completed,Social Media,Mobile,Jakarta,Champions
ORD000051,CUST00016,2024-08-15,Food & Drink,283.28,1,Completed,Organic,Desktop,Semarang,Loyal
ORD000052,CUST00016,2024-10-27,Apparel,304.02,2,Returned,Referral,Mobile,Semarang,Loyal
ORD000053,CUST00016,2024-07-27,Apparel,208.28,2,Returned,Paid Search,Mobile,Semarang,Loyal
ORD000054,CUST00016,2024-05-22,Food & Drink,177.29,3,Completed,Paid Search,Mobile,Semarang,Loyal
ORD000055,CUST00016,2024-09-04,Home & Garden,97.06,1,Returned,Direct,Desktop,Semarang,Loyal
ORD000056,CUST00017,2024-05-19,Books,119.27,5,Completed,Organic,Desktop,Makassar,Loyal
ORD000057,CUST00017,2024-06-08,Sports,228.38,3,Returned,Paid Search,Desktop,Makassar,Loyal
ORD000058,CUST00017,2024-01-30,Sports,263.47,3,Completed,Email,Mobile,Makassar,Loyal
ORD000059,CUST00017,2024-10-11,Apparel,240.92,3,Completed,Organic,Mobile,Makassar,Loyal
ORD000060,CUST00017,2024-10-31,Home & Garden,93.27,2,Completed,Social Media,Mobile,Makassar,Loyal
ORD000061,CUST00017,2024-10-12,Sports,153.97,4,Completed,Paid Search,Mobile,Makassar,Loyal
ORD000062,CUST00017,2024-06-12,Books,163.3,5,Cancelled,Organic,Desktop,Makassar,Loyal
ORD000063,CUST00018,2024-04-05,Food & Drink,85.31,2,Completed,Organic,Tablet,Jakarta,New
ORD000064,CUST00019,2024-03-31,Home & Garden,43.48,1,Completed,Referral,Mobile,Jakarta,New
ORD000065,CUST00019,2024-07-17,Beauty,97.22,5,Cancelled,Organic,Mobile,Jakarta,New
ORD000066,CUST00019,2024-03-10,Food & Drink,65.52,3,Cancelled,Paid Search,Desktop,Jakarta,New
ORD000067,CUST00020,2024-07-16,Apparel,65.04,4,Completed,Social Media,Mobile,Medan,Lost
ORD000068,CUST00021,2024-11-30,Food & Drink,36.63,3,Completed,Social Media,Desktop,Jakarta,Lost
ORD000069,CUST00021,2024-09-08,Apparel,60.67,1,Completed,Social Media,Mobile,Jakarta,Lost
ORD000070,CUST00022,2024-10-02,Electronics,524.67,1,Completed,Organic,Desktop,Jakarta,Champions
ORD000071,CUST00022,2024-07-17,Books,180.27,3,Cancelled,Email,Mobile,Jakarta,Champions
ORD000072,CUST00022,2024-06-18,Apparel,552.21,1,Completed,Direct,Mobile,Jakarta,Champions
ORD000073,CUST00022,2024-07-21,Home & Garden,471.82,5,Completed,Social Media,Desktop,Jakarta,Champions
ORD000074,CUST00022,2024-02-24,Home & Garden,502.93,3,Completed,Social Media,Mobile,Jakarta,Champions
ORD000075,CUST00022,2024-03-20,Food & Drink,387.46,5,Returned,Email,Mobile,Jakarta,Champions
ORD000076,CUST00022,2024-03-08,Sports,228.76,2,Returned,Email,Mobile,Jakarta,Champions
ORD000077,CUST00022,2024-12-03,Food & Drink,593.4,2,Completed,Organic,Tablet,Jakarta,Champions
ORD000078,CUST00022,2024-04-18,Sports,400.67,1,Completed,Organic,Mobile,Jakarta,Champions
ORD000079,CUST00022,2024-07-16,Electronics,461.25,1,Completed,Paid Search,Desktop,Jakarta,Champions
ORD000080,CUST00023,2024-07-15,Books,131.12,2,Completed,Paid Search,Desktop,Medan,Loyal
ORD000081,CUST00023,2024-10-08,Books,154.62,3,Completed,Organic,Mobile,Medan,Loyal
ORD000082,CUST00023,2024-05-22,Food & Drink,80.95,5,Returned,Referral,Mobile,Medan,Loyal
ORD000083,CUST00024,2024-11-10,Beauty,195.26,3,Completed,Direct,Desktop,Bali,Champions
ORD000084,CUST00024,2024-09-30,Apparel,213.37,4,Completed,Social Media,Mobile,Bali,Champions
ORD000085,CUST00024,2024-01-16,Books,182.69,2,Completed,Social Media,Mobile,Bali,Champions
ORD000086,CUST00024,2024-03-08,Electronics,574.47,3,Completed,Email,Mobile,Bali,Champions
ORD000087,CUST00024,2024-08-24,Food & Drink,573.34,1,Completed,Social Media,Mobile,Bali,Champions
ORD000088,CUST00024,2024-05-31,Sports,212.09,1,Completed,Organic,Mobile,Bali,Champions
ORD000089,CUST00024,2024-10-30,Apparel,423.85,3,Completed,Organic,Mobile,Bali,Champions
ORD000090,CUST00025,2024-09-05,Apparel,282.14,4,Completed,Organic,Desktop,Medan,Champions
ORD000091,CUST00025,2024-06-24,Apparel,466.86,4,Completed,Referral,Mobile,Medan,Champions
ORD000092,CUST00025,2024-09-21,Beauty,575.39,4,Completed,Social Media,Mobile,Medan,Champions
ORD000093,CUST00025,2024-01-01,Electronics,408.46,1,Completed,Email,Tablet,Medan,Champions
ORD000094,CUST00025,2024-01-23,Home & Garden,486.39,4,Completed,Organic,Mobile,Medan,Champions
ORD000095,CUST00025,2024-11-30,Food & Drink,523.49,3,Completed,Social Media,Mobile,Medan,Champions
ORD000096,CUST00025,2024-03-08,Books,335.46,4,Completed,Organic,Desktop,Medan,Champions
ORD000097,CUST00025,2024-03-19,Electronics,299.53,5,Completed,Social Media,Mobile,Medan,Champions
ORD000098,CUST00025,2024-08-10,Books,590.56,2,Completed,Paid Search,Mobile,Medan,Champions
ORD000099,CUST00025,2024-06-11,Beauty,585.45,3,Completed,Paid Search,Mobile,Medan,Champions
ORD000100,CUST00025,2024-06-29,Apparel,428.94,2,Completed,Referral,Mobile,Medan,Champions
ORD000101,CUST00026,2024-12-07,Sports,277.27,2,Cancelled,Organic,Mobile,Semarang,Loyal
ORD000102,CUST00026,2024-03-13,Beauty,265.4,4,Completed,Paid Search,Desktop,Semarang,Loyal
ORD000103,CUST00026,2024-03-31,Sports,102.45,2,Cancelled,Direct,Mobile,Semarang,Loyal
ORD000104,CUST00027,2024-04-03,Apparel,76.16,5,Returned,Paid Search,Mobile,Palembang,Lost
ORD000105,CUST00028,2024-02-03,Food & Drink,449.89,3,Completed,Referral,Tablet,Jakarta,Champions
ORD000106,CUST00028,2024-08-07,Food & Drink,545.23,3,Completed,Social Media,Mobile,Jakarta,Champions
ORD000107,CUST00028,2024-05-04,Food & Drink,311.63,3,Returned,Social Media,Mobile,Jakarta,Champions
ORD000108,CUST00028,2024-08-07,Beauty,329.0,5,Returned,Direct,Mobile,Jakarta,Champions
ORD000109,CUST00028,2024-07-10,Apparel,464.5,4,Completed,Organic,Mobile,Jakarta,Champions
ORD000110,CUST00028,2024-07-19,Apparel,208.5,5,Completed,Organic,Mobile,Jakarta,Champions
ORD000111,CUST00028,2024-08-03,Beauty,439.42,2,Completed,Organic,Mobile,Jakarta,Champions
ORD000112,CUST00028,2024-02-15,Electronics,556.28,2,Completed,Paid Search,Mobile,Jakarta,Champions
ORD000113,CUST00028,2024-04-05,Apparel,404.52,5,Completed,Social Media,Desktop,Jakarta,Champions
ORD000114,CUST00028,2024-08-25,Electronics,357.87,2,Returned,Social Media,Mobile,Jakarta,Champions
ORD000115,CUST00028,2024-03-27,Electronics,344.15,2,Completed,Email,Mobile,Jakarta,Champions
ORD000116,CUST00029,2024-06-19,Home & Garden,60.52,5,Completed,Organic,Desktop,Bandung,Lost
ORD000117,CUST00029,2024-11-07,Electronics,98.22,5,Returned,Social Media,Mobile,Bandung,Lost
ORD000118,CUST00030,2024-04-27,Beauty,157.42,1,Completed,Direct,Mobile,Jakarta,At Risk
ORD000119,CUST00030,2024-09-25,Sports,142.36,3,Completed,Organic,Mobile,Jakarta,At Risk
ORD000120,CUST00030,2024-12-31,Food & Drink,78.78,2,Completed,Organic,Mobile,Jakarta,At Risk
ORD000121,CUST00031,2024-01-25,Electronics,86.97,1,Completed,Paid Search,Desktop,Jakarta,At Risk
ORD000122,CUST00032,2024-10-02,Food & Drink,105.91,1,Completed,Email,Desktop,Bandung,Loyal
ORD000123,CUST00032,2024-11-07,Home & Garden,182.09,5,Completed,Direct,Desktop,Bandung,Loyal
ORD000124,CUST00032,2024-07-06,Home & Garden,215.29,4,Completed,Direct,Desktop,Bandung,Loyal
ORD000125,CUST00032,2024-05-10,Beauty,290.28,4,Completed,Organic,Mobile,Bandung,Loyal
ORD000126,CUST00032,2024-08-10,Books,184.04,3,Returned,Organic,Tablet,Bandung,Loyal
ORD000127,CUST00032,2024-12-13,Apparel,120.85,1,Completed,Social Media,Mobile,Bandung,Loyal
ORD000128,CUST00033,2024-12-02,Food & Drink,122.46,3,Completed,Social Media,Mobile,Jakarta,New
ORD000129,CUST00033,2024-07-05,Food & Drink,116.67,3,Completed,Organic,Tablet,Jakarta,New
ORD000130,CUST00033,2024-05-16,Electronics,157.42,4,Completed,Paid Search,Desktop,Jakarta,New
ORD000131,CUST00034,2024-05-18,Beauty,99.25,5,Completed,Direct,Desktop,Surabaya,Lost
ORD000132,CUST00035,2024-07-09,Beauty,42.46,4,Completed,Paid Search,Mobile,Semarang,Lost
ORD000133,CUST00037,2024-08-19,Apparel,514.32,4,Completed,Organic,Mobile,Medan,Champions
ORD000134,CUST00037,2024-08-16,Electronics,478.45,3,Completed,Direct,Mobile,Medan,Champions
ORD000135,CUST00037,2024-12-13,Apparel,456.12,2,Completed,Organic,Desktop,Medan,Champions
ORD000136,CUST00037,2024-04-23,Books,519.16,2,Returned,Paid Search,Mobile,Medan,Champions
ORD000137,CUST00037,2024-11-26,Electronics,559.96,3,Completed,Direct,Desktop,Medan,Champions
ORD000138,CUST00037,2024-09-04,Electronics,564.35,2,Completed,Organic,Mobile,Medan,Champions
ORD000139,CUST00037,2024-03-04,Apparel,408.15,4,Completed,Organic,Mobile,Medan,Champions
ORD000140,CUST00037,2024-11-03,Electronics,474.38,4,Completed,Social Media,Desktop,Medan,Champions
ORD000141,CUST00037,2024-09-24,Apparel,427.18,3,Completed,Organic,Mobile,Medan,Champions
ORD000142,CUST00037,2024-02-16,Food & Drink,361.29,4,Returned,Social Media,Mobile,Medan,Champions
ORD000143,CUST00037,2024-10-10,Home & Garden,309.4,5,Completed,Referral,Desktop,Medan,Champions
ORD000144,CUST00037,2024-04-20,Electronics,590.86,2,Cancelled,Referral,Tablet,Medan,Champions
ORD000145,CUST00038,2024-04-04,Food & Drink,112.07,4,Completed,Referral,Mobile,Surabaya,New
ORD000146,CUST00038,2024-12-16,Beauty,65.3,2,Completed,Organic,Mobile,Surabaya,New
ORD000147,CUST00038,2024-02-06,Electronics,145.5,4,Completed,Paid Search,Desktop,Surabaya,New
ORD000148,CUST00039,2024-11-16,Electronics,127.06,4,Completed,Paid Search,Tablet,Bali,Loyal
ORD000149,CUST00039,2024-09-11,Beauty,201.73,4,Completed,Organic,Desktop,Bali,Loyal
ORD000150,CUST00039,2024-04-13,Electronics,99.79,4,Completed,Email,Desktop,Bali,Loyal
ORD000151,CUST00039,2024-04-04,Electronics,242.52,1,Completed,Social Media,Mobile,Bali,Loyal
ORD000152,CUST00039,2024-05-01,Beauty,193.5,5,Completed,Direct,Desktop,Bali,Loyal
ORD000153,CUST00040,2024-06-27,Apparel,43.29,3,Completed,Paid Search,Mobile,Jakarta,At Risk
ORD000154,CUST00041,2024-06-01,Sports,373.39,3,Completed,Social Media,Desktop,Bali,Champions
ORD000155,CUST00041,2024-07-27,Books,164.86,2,Completed,Paid Search,Mobile,Bali,Champions
ORD000156,CUST00041,2024-02-26,Food & Drink,348.62,3,Returned,Social Media,Mobile,Bali,Champions
ORD000157,CUST00041,2024-03-23,Electronics,307.39,2,Completed,Paid Search,Mobile,Bali,Champions
ORD000158,CUST00041,2024-05-24,Beauty,306.91,3,Completed,Paid Search,Tablet,Bali,Champions
ORD000159,CUST00041,2024-11-04,Beauty,327.98,2,Completed,Email,Desktop,Bali,Champions
ORD000160,CUST00041,2024-09-26,Books,268.71,5,Completed,Email,Mobile,Bali,Champions
ORD000161,CUST00041,2024-02-28,Electronics,461.07,4,Completed,Email,Mobile,Bali,Champions
ORD000162,CUST00041,2024-08-09,Electronics,275.16,1,Completed,Paid Search,Mobile,Bali,Champions
ORD000163,CUST00041,2024-07-01,Books,213.65,2,Completed,Email,Desktop,Bali,Champions
ORD000164,CUST00041,2024-11-17,Electronics,412.06,1,Completed,Paid Search,Mobile,Bali,Champions
ORD000165,CUST00041,2024-02-05,Food & Drink,424.27,3,Completed,Paid Search,Mobile,Bali,Champions
ORD000166,CUST00042,2024-03-10,Electronics,117.2,3,Completed,Organic,Mobile,Depok,New
ORD000167,CUST00043,2024-11-29,Books,346.92,2,Completed,Email,Mobile,Jakarta,Loyal
ORD000168,CUST00043,2024-08-12,Beauty,342.52,3,Returned,Organic,Mobile,Jakarta,Loyal
ORD000169,CUST00043,2024-08-17,Home & Garden,171.35,2,Completed,Email,Mobile,Jakarta,Loyal
ORD000170,CUST00043,2024-07-24,Electronics,116.3,2,Completed,Organic,Desktop,Jakarta,Loyal
ORD000171,CUST00043,2024-12-09,Electronics,266.91,3,Returned,Email,Tablet,Jakarta,Loyal
ORD000172,CUST00043,2024-04-17,Electronics,253.27,2,Completed,Direct,Desktop,Jakarta,Loyal
ORD000173,CUST00044,2024-10-24,Beauty,203.78,1,Completed,Email,Mobile,Yogyakarta,Loyal
ORD000174,CUST00044,2024-01-27,Sports,115.75,4,Returned,Organic,Desktop,Yogyakarta,Loyal
ORD000175,CUST00044,2024-11-03,Electronics,292.4,3,Returned,Organic,Mobile,Yogyakarta,Loyal
ORD000176,CUST00044,2024-02-02,Beauty,171.66,1,Completed,Paid Search,Desktop,Yogyakarta,Loyal
ORD000177,CUST00044,2024-05-24,Home & Garden,284.73,2,Completed,Direct,Tablet,Yogyakarta,Loyal
ORD000178,CUST00046,2024-12-18,Apparel,306.0,5,Completed,Email,Mobile,Bali,Champions
ORD000179,CUST00046,2024-02-26,Sports,553.83,2,Completed,Organic,Desktop,Bali,Champions
ORD000180,CUST00046,2024-05-28,Electronics,312.32,2,Completed,Organic,Mobile,Bali,Champions
ORD000181,CUST00046,2024-04-09,Books,236.56,5,Completed,Organic,Desktop,Bali,Champions
ORD000182,CUST00046,2024-07-10,Books,154.65,5,Completed,Paid Search,Desktop,Bali,Champions
ORD000183,CUST00046,2024-08-19,Home & Garden,270.6,2,Returned,Paid Search,Mobile,Bali,Champions
ORD000184,CUST00047,2024-10-20,Electronics,444.35,5,Completed,Organic,Mobile,Jakarta,Champions
ORD000185,CUST00047,2024-11-14,Beauty,227.56,2,Completed,Social Media,Mobile,Jakarta,Champions
ORD000186,CUST00047,2024-02-24,Electronics,242.14,1,Completed,Social Media,Mobile,Jakarta,Champions
ORD000187,CUST00047,2024-11-24,Sports,220.67,1,Completed,Direct,Tablet,Jakarta,Champions
ORD000188,CUST00047,2024-02-27,Sports,380.11,4,Completed,Social Media,Mobile,Jakarta,Champions
ORD000189,CUST00047,2024-03-09,Home & Garden,594.97,1,Completed,Social Media,Desktop,Jakarta,Champions
ORD000190,CUST00047,2024-05-05,Home & Garden,385.99,4,Completed,Social Media,Desktop,Jakarta,Champions
ORD000191,CUST00047,2024-08-11,Electronics,213.41,2,Completed,Organic,Mobile,Jakarta,Champions
ORD000192,CUST00047,2024-02-27,Beauty,508.13,5,Completed,Paid Search,Desktop,Jakarta,Champions
ORD000193,CUST00047,2024-04-11,Sports,381.16,1,Completed,Social Media,Mobile,Jakarta,Champions
ORD000194,CUST00047,2024-12-27,Sports,485.31,2,Completed,Organic,Desktop,Jakarta,Champions
