city,category,month,revenue,orders,avg_order_value
Jakarta,Electronics,2024-01,9739.04,29,335.83
Jakarta,Electronics,2024-02,8913.59,37,240.91
Jakarta,Electronics,2024-03,9191.01,27,340.41
Jakarta,Electronics,2024-04,9427.52,28,336.7
Jakarta,Electronics,2024-05,10087.69,31,325.41
Jakarta,Electronics,2024-06,9520.65,29,328.3
Jakarta,Electronics,2024-07,11346.71,48,236.39
Jakarta,Electronics,2024-08,10147.16,37,274.25
Jakarta,Electronics,2024-09,10196.0,39,261.44
Jakarta,Electronics,2024-10,11059.81,34,325.29
Jakarta,Electronics,2024-11,12508.91,42,297.83
Jakarta,Electronics,2024-12,14441.78,52,277.73
Jakarta,Apparel,2024-01,4883.23,20,244.16
Jakarta,Apparel,2024-02,4842.48,15,322.83
Jakarta,Apparel,2024-03,5914.95,18,328.61
Jakarta,Apparel,2024-04,5554.32,23,241.49
Jakarta,Apparel,2024-05,5306.44,18,294.8
Jakarta,Apparel,2024-06,5559.57,20,277.98
Jakarta,Apparel,2024-07,5732.06,20,286.6
Jakarta,Apparel,2024-08,6114.22,26,235.16
Jakarta,Apparel,2024-09,5752.28,24,239.68
Jakarta,Apparel,2024-10,6550.48,21,311.93
Jakarta,Apparel,2024-11,5947.69,18,330.43
Jakarta,Apparel,2024-12,7876.06,31,254.07
Jakarta,Home & Garden,2024-01,2639.83,8,329.98
Jakarta,Home & Garden,2024-02,2597.15,11,236.1
Jakarta,Home & Garden,2024-03,2878.98,11,261.73
Jakarta,Home & Garden,2024-04,2591.77,9,287.97
Jakarta,Home & Garden,2024-05,2928.48,12,244.04
Jakarta,Home & Garden,2024-06,3143.69,13,241.82
Jakarta,Home & Garden,2024-07,3284.41,12,273.7
Jakarta,Home & Garden,2024-08,3212.17,12,267.68
Jakarta,Home & Garden,2024-09,2979.28,10,297.93
Jakarta,Home & Garden,2024-10,2952.93,12,246.08
Jakarta,Home & Garden,2024-11,3604.0,12,300.33
Jakarta,Home & Garden,2024-12,4359.59,13,335.35
Jakarta,Beauty,2024-01,2684.86,9,298.32
Jakarta,Beauty,2024-02,2177.13,8,272.14
Jakarta,Beauty,2024-03,2679.56,11,243.6
Jakarta,Beauty,2024-04,2966.67,9,329.63
Jakarta,Beauty,2024-05,2480.61,10,248.06
Jakarta,Beauty,2024-06,3118.76,10,311.88
Jakarta,Beauty,2024-07,2771.51,10,277.15
Jakarta,Beauty,2024-08,3278.1,11,298.01
Jakarta,Beauty,2024-09,2875.09,9,319.45
Jakarta,Beauty,2024-10,3195.93,11,290.54
Jakarta,Beauty,2024-11,3042.14,13,234.01
Jakarta,Beauty,2024-12,3978.38,13,306.03
Jakarta,Sports,2024-01,2299.91,7,328.56
