city,acquisition_source,month,sessions,conversions,revenue,conversion_rate,ad_spend,roas,avg_order_value
Jakarta,Organic,2024-01,35,3,941.32,0.0857,55.04,17.1,313.77
Jakarta,Organic,2024-02,30,3,947.97,0.1,62.67,15.13,315.99
Jakarta,Organic,2024-03,34,3,951.99,0.0882,62.86,15.14,317.33
Jakarta,Organic,2024-04,41,4,1199.13,0.0976,79.93,15.0,299.78
Jakarta,Organic,2024-05,39,4,1206.83,0.1026,139.37,8.66,301.71
Jakarta,Organic,2024-06,40,4,1288.55,0.1,137.26,9.39,322.14
Jakarta,Organic,2024-07,37,3,933.19,0.0811,74.33,12.55,311.06
Jakarta,Organic,2024-08,40,4,1274.61,0.1,151.54,8.41,318.65
Jakarta,Organic,2024-09,37,4,1232.76,0.1081,135.99,9.07,308.19
Jakarta,Organic,2024-10,41,4,1246.46,0.0976,99.13,12.57,311.62
Jakarta,Organic,2024-11,43,4,1305.92,0.093,105.8,12.34,326.48
Jakarta,Organic,2024-12,60,6,1794.88,0.1,215.3,8.34,299.15
Jakarta,Paid Search,2024-01,34,6,1888.56,0.1765,440.61,4.29,314.76
Jakarta,Paid Search,2024-02,29,4,1204.57,0.1379,270.66,4.45,301.14
Jakarta,Paid Search,2024-03,32,5,1485.06,0.1562,419.86,3.54,297.01
Jakarta,Paid Search,2024-04,33,5,1590.32,0.1515,476.51,3.34,318.06
Jakarta,Paid Search,2024-05,35,6,1761.92,0.1714,429.44,4.1,293.65
Jakarta,Paid Search,2024-06,39,6,1832.62,0.1538,512.84,3.57,305.44
Jakarta,Paid Search,2024-07,32,5,1521.2,0.1562,438.44,3.47,304.24
Jakarta,Paid Search,2024-08,34,6,1748.3,0.1765,410.62,4.26,291.38
Jakarta,Paid Search,2024-09,38,6,1776.6,0.1579,407.89,4.36,296.1
Jakarta,Paid Search,2024-10,43,6,1842.17,0.1395,496.56,3.71,307.03
Jakarta,Paid Search,2024-11,40,6,1829.08,0.15,539.17,3.39,304.85
Jakarta,Paid Search,2024-12,47,8,2369.64,0.1702,596.35,3.97,296.2
Jakarta,Social Media,2024-01,28,4,1208.84,0.1429,272.96,4.43,302.21
Jakarta,Social Media,2024-02,27,4,1237.64,0.1481,279.53,4.43,309.41
