item_id,order_id,customer_id,product_name,category,quantity,unit_price,subtotal,order_date
ITEM0000001,ORD000001,CUST00001,Casual Tee,Apparel,1,33.61,33.61,2024-09-06
ITEM0000002,ORD000001,CUST00001,Casual Tee,Apparel,3,42.17,126.51,2024-09-06
ITEM0000003,ORD000001,CUST00001,Dress,Apparel,1,42.46,42.46,2024-09-06
ITEM0000004,ORD000002,CUST00001,USB Hub,Electronics,2,49.41,98.82,2024-12-26
ITEM0000005,ORD000003,CUST00002,Casual Tee,Apparel,2,58.92,117.84,2024-02-24
ITEM0000006,ORD000003,CUST00002,Dress,Apparel,1,66.61,66.61,2024-02-24
ITEM0000007,ORD000003,CUST00002,Sandals,Apparel,2,48.69,97.38,2024-02-24
ITEM0000008,ORD000003,CUST00002,Casual Tee,Apparel,1,64.19,64.19,2024-02-24
ITEM0000009,ORD000003,CUST00002,Casual Tee,Apparel,2,70.22,140.44,2024-02-24
ITEM0000010,ORD000004,CUST00002,Wireless Earbuds,Electronics,3,305.89,917.67,2024-08-21
ITEM0000011,ORD000005,CUST00002,Sheet Mask,Beauty,3,268.93,806.79,2024-09-01
ITEM0000012,ORD000005,CUST00002,Lip Balm,Beauty,2,227.4,454.8,2024-09-01
ITEM0000013,ORD000006,CUST00002,Chili Sauce,Food & Drink,2,81.41,162.82,2024-08-07
ITEM0000014,ORD000006,CUST00002,Granola Bar,Food & Drink,2,91.79,183.58,2024-08-07
ITEM0000015,ORD000006,CUST00002,Honey,Food & Drink,2,86.77,173.54,2024-08-07
ITEM0000016,ORD000006,CUST00002,Chili Sauce,Food & Drink,3,92.77,278.31,2024-08-07
ITEM0000017,ORD000006,CUST00002,Protein Powder,Food & Drink,3,84.4,253.2,2024-08-07
ITEM0000018,ORD000007,CUST00002,Green Tea,Food & Drink,1,156.24,156.24,2024-06-11
ITEM0000019,ORD000007,CUST00002,Protein Powder,Food & Drink,1,190.67,190.67,2024-06-11
ITEM0000020,ORD000007,CUST00002,Instant Coffee,Food & Drink,2,137.31,274.62,2024-06-11
ITEM0000021,ORD000008,CUST00002,Green Tea,Food & Drink,1,72.16,72.16,2024-06-06
ITEM0000022,ORD000008,CUST00002,Green Tea,Food & Drink,2,97.12,194.24,2024-06-06
ITEM0000023,ORD000009,CUST00002,Sandals,Apparel,1,79.33,79.33,2024-09-03
ITEM0000024,ORD000009,CUST00002,Hoodie,Apparel,2,67.57,135.14,2024-09-03
ITEM0000025,ORD000009,CUST00002,Dress,Apparel,2,76.5,153.0,2024-09-03
ITEM0000026,ORD000009,CUST00002,Sneakers,Apparel,1,73.94,73.94,2024-09-03
ITEM0000027,ORD000010,CUST00003,Face Serum,Beauty,2,21.85,43.7,2024-01-04
