session_id,customer_id,session_date,acquisition_source,device,city,pages_viewed,session_duration_sec,converted,bounced,segment
SESS0000001,CUST01571,2024-07-05,Organic,Mobile,Depok,10,48,0,0,At Risk
SESS0000002,CUST00042,2024-04-06,Paid Search,Mobile,Depok,13,939,0,0,New
SESS0000003,CUST00414,2024-06-19,Social Media,Mobile,Jakarta,3,353,1,0,Loyal
SESS0000004,CUST00852,2024-01-16,Organic,Mobile,Semarang,10,963,0,0,Lost
SESS0000005,CUST01476,2024-04-07,Direct,Mobile,Surabaya,12,1400,0,0,Loyal
SESS0000006,CUST01988,2024-09-11,Organic,Mobile,Medan,14,517,0,0,New
SESS0000007,CUST00175,2024-07-26,Paid Search,Mobile,Semarang,11,1055,0,0,Lost
SESS0000008,CUST00339,2024-08-13,Organic,Mobile,Surabaya,3,1272,0,0,Loyal
SESS0000009,CUST01571,2024-08-13,Referral,Mobile,Depok,1,1712,0,0,At Risk
SESS0000010,CUST01996,2024-06-03,Social Media,Desktop,Yogyakarta,6,289,1,0,Loyal
SESS0000011,CUST00167,2024-08-06,Paid Search,Tablet,Bandung,2,429,0,0,New
SESS0000012,CUST01583,2024-11-02,Email,Mobile,Medan,2,576,1,0,Lost
SESS0000013,CUST01303,2024-05-26,Paid Search,Mobile,Jakarta,14,808,0,0,At Risk
SESS0000014,CUST00458,2024-11-23,Email,Desktop,Surabaya,9,170,0,0,Loyal
SESS0000015,CUST00046,2024-09-28,Organic,Mobile,Bali,14,337,0,0,Champions
SESS0000016,CUST00514,2024-05-08,Direct,Mobile,Yogyakarta,2,179,0,0,At Risk
SESS0000017,CUST01268,2024-09-30,Social Media,Desktop,Surabaya,6,1549,1,0,At Risk
SESS0000018,CUST00436,2024-08-18,Social Media,Desktop,Bandung,11,1384,0,0,At Risk
SESS0000019,CUST00763,2024-11-11,Social Media,Mobile,Depok,16,582,0,0,Loyal
SESS0000020,CUST00916,2024-02-29,Organic,Tablet,Yogyakarta,4,1043,0,0,New
SESS0000021,CUST01162,2024-01-23,Paid Search,Mobile,Bandung,10,1744,0,0,Loyal
SESS0000022,CUST00913,2024-06-01,Paid Search,Mobile,Jakarta,14,1776,0,0,Champions
SESS0000023,CUST00580,2024-12-03,Social Media,Mobile,Surabaya,11,1528,1,0,Loyal
SESS0000024,CUST00976,2024-03-05,Email,Mobile,Bali,4,729,0,0,Loyal
SESS0000025,CUST01185,2024-07-06,Email,Mobile,Bandung,13,268,1,0,Champions
SESS0000026,CUST01364,2024-04-02,Paid Search,Desktop,Surabaya,14,187,0,0,Champions
SESS0000027,CUST01642,2024-01-14,Email,Mobile,Surabaya,18,795,0,0,New
SESS0000028,CUST00208,2024-08-23,Social Media,Mobile,Bandung,2,40,1,0,New
SESS0000029,CUST01286,2024-03-19,Organic,Mobile,Medan,4,390,0,0,Loyal
SESS0000030,CUST01203,2024-02-24,Email,Mobile,Jakarta,14,1614,0,0,New
SESS0000031,CUST00106,2024-02-25,Paid Search,Mobile,Bandung,13,309,0,0,Lost
SESS0000032,CUST01380,2024-03-27,Email,Mobile,Surabaya,18,83,0,0,At Risk
SESS0000033,CUST01719,2024-10-25,Social Media,Tablet,Jakarta,1,1558,0,0,Loyal
SESS0000034,CUST00382,2024-10-20,Organic,Desktop,Jakarta,4,231,0,0,Lost
SESS0000035,CUST01411,2024-12-14,Paid Search,Mobile,Jakarta,14,1282,0,0,New
SESS0000036,CUST00545,2024-04-19,Email,Mobile,Jakarta,6,451,1,0,New
SESS0000037,CUST00117,2024-05-14,Organic,Mobile,Jakarta,15,1053,0,0,At Risk
SESS0000038,CUST00921,2024-05-06,Social Media,Mobile,Yogyakarta,1,1257,0,0,Lost
SESS0000039,CUST00233,2024-02-14,Direct,Desktop,Jakarta,13,485,0,0,At Risk
SESS0000040,CUST00830,2024-10-26,Social Media,Desktop,Jakarta,4,826,1,0,Loyal
SESS0000041,CUST00437,2024-03-25,Paid Search,Mobile,Jakarta,11,1665,0,0,Loyal
SESS0000042,CUST00429,2024-04-07,Direct,Mobile,Medan,4,136,0,0,New
SESS0000043,CUST00244,2024-07-31,Direct,Mobile,Bali,8,794,0,0,At Risk
SESS0000044,CUST00936,2024-03-26,Social Media,Mobile,Surabaya,11,1187,0,0,New
SESS0000045,CUST01095,2024-02-09,Social Media,Mobile,Depok,15,50,0,0,New
SESS0000046,CUST01060,2024-01-21,Social Media,Desktop,Medan,18,1278,0,0,New
SESS0000047,CUST01500,2024-07-15,Organic,Mobile,Bandung,1,270,1,0,Loyal
